headings, Ranks, views, favorites 
Coventry University,THE World  Ranking: 601,41154,1854
University of Greenwich,THE World  Ranking: 601,29206,1166
Bangor University,THE World  Ranking: 301,22575,1177
Swansea University,THE World  Ranking: 251,17294,545
University of Kent,THE World  Ranking: 301,13087,738
Queen Mary University of London,THE World  Ranking: 121,28367,1391
University of Southampton,THE World  Ranking: 126,14278,295
University of Aberdeen,THE World  Ranking: 185,9905,633
Bournemouth University,THE World  Ranking: 601,7503,435
University of Derby,THE World  Ranking: 801,16138,225
University of Nottingham,THE World  Ranking: 147,22818,73
University of Birmingham,THE World  Ranking: 141,12687,61
